,Education,NumSkills,WorkExperience,Seniority,Specialty,Workerness
18,Associates,0,"['Specialist', 'Senior', 'Worker', 'Worker', 'Worker', 'Worker']","[0.2255540295294938, 0.20071987036771852, 0.19095946077372267, 0.2153015103627209, 0.1853902542995186, 0.2118865325756764]","[0.23540539963177978, 0.1834475925567419, 0.19442747124311074, 0.19842899266311084, 0.17596106322277136, 0.21633440852998628]","[0.20695380995564763, 0.1959515115305844, 0.1973572993546531, 0.21640730703988895, 0.19440034741929424, 0.21745352063171833]"
19,Masters,0,"['Worker', 'Worker', 'Senior', 'Senior', 'Senior', 'Worker', 'Senior', 'Specialist', 'Specialist', 'Senior', 'Senior', 'Worker', 'Senior', 'Worker', 'Senior', 'Worker', 'Senior']","[0.2001005540694153, 0.2001005540694153, 0.2330360556628558, 0.23470842559559485, 0.240763106798753, 0.20750130172987877, 0.23336618126970324, 0.21459595477932858, 0.20201703289932416, 0.21854873114245416, 0.22562492992693, 0.20449025990001168, 0.22162685656018916, 0.21639208435434867, 0.23470842559559485, 0.19197452079182703, 0.21996623292488776]","[0.20735095546435878, 0.20735095546435878, 0.2167894804086437, 0.20748606926822394, 0.21333629236363588, 0.1941503469004755, 0.22889976583888547, 0.2360876709267607, 0.22527406217360224, 0.19641543330383068, 0.20219162175022148, 0.2046591371806835, 0.19222271671345875, 0.20999115568979312, 0.20748606926822394, 0.18017889785494035, 0.20992417235781588]","[0.22554045231262962, 0.22554045231262962, 0.19940267790208072, 0.19590933432089971, 0.20397363376270178, 0.21692343890549926, 0.2021144262378198, 0.1973032224648911, 0.18999609755374092, 0.17514594469386743, 0.1789018649885305, 0.21327492029310421, 0.2100662322486252, 0.22607694118505742, 0.19590933432089971, 0.1934047267428901, 0.18720071655233333]"
20,Masters,0,"['Senior', 'Senior', 'Senior', 'Senior', 'Specialist', 'Specialist', 'Senior', 'Specialist', 'Senior', 'Senior', 'Senior', 'Senior', 'Senior']","[0.20784032838054495, 0.23046859337689052, 0.24162183040305682, 0.23067850806604978, 0.21822317062988916, 0.21822317062988916, 0.211984325066044, 0.22300593228807905, 0.23653747313859852, 0.21455379484052572, 0.22578517538592566, 0.23546528808904646, 0.2013789333625749]","[0.19340783717797883, 0.215081830545185, 0.21730057967359145, 0.22011951307562466, 0.24198269334564734, 0.24198269334564734, 0.20252802072207843, 0.27202311574661464, 0.2346641276425937, 0.19070408346252637, 0.22391082700967993, 0.22990503750848748, 0.18172572828119907]","[0.1901921777830231, 0.21960759326514204, 0.20844433171836993, 0.17593032223272573, 0.21434816187329217, 0.21434816187329217, 0.1790942408306171, 0.19057318678725646, 0.193506374625553, 0.18946831618777138, 0.18648309060282492, 0.21142533145991682, 0.19029273297719818]"
21,Masters,1,"['Senior', 'Senior', 'Senior', 'Worker', 'Senior', 'Senior', 'Senior', 'Senior', 'Junior', 'Senior', 'Specialist', 'Senior', 'Specialist', 'Junior', 'Specialist']","[0.0, 0.0, 0.19741918128579025, 0.1713539897761975, 0.22935962633905774, 0.2179933553894471, 0.21210212388908303, 0.22313544637807206, 0.24945503570594124, 0.20487475241523942, 0.20793884112086608, 0.21959999910104003, 0.22195606757829375, 0.18541709935541378, 0.20295153131714028]","[0.0, 0.0, 0.18671811811961633, 0.17465716388957223, 0.21567587459159088, 0.21239671492165357, 0.20025107514621518, 0.19708613342313708, 0.2363868801699514, 0.19319396173023368, 0.24762618352932086, 0.21594123087277114, 0.2390373771216442, 0.16669509988546413, 0.2034975283068481]","[0.0, 0.0, 0.17586066821822122, 0.18616546739021056, 0.22007674678306682, 0.21289862215198624, 0.19841362019471576, 0.19512785679109607, 0.21124093792351414, 0.1980668897563635, 0.19072709499269644, 0.21691256739931591, 0.20226637640672168, 0.1717116661018595, 0.19896638345394707]"
22,None/Other,5,"['Junior', 'Junior', 'Senior', 'Specialist']","[0.23870422878519934, 0.22955181666009297, 0.24321754558785877, 0.2219103709354334]","[0.2543527515526546, 0.24821621745948919, 0.21104568137140414, 0.23178549808493112]","[0.20603070249472824, 0.2113626762996265, 0.19680026612605656, 0.1975027842950572]"
23,None/Other,1,"['Specialist', 'Senior', 'Specialist', 'Senior', 'Senior', 'Senior', 'Senior']","[0.19117600119710174, 0.22228670720721533, 0.21344306423246226, 0.2133332366294864, 0.2133332366294864, 0.225104936791628, 0.225104936791628]","[0.20040199622861926, 0.1943656423966886, 0.2641863761143588, 0.20291326326253, 0.20291326326253, 0.20655915493718294, 0.20655915493718294]","[0.18666430371005963, 0.1883097982105408, 0.196244585260052, 0.21061334045007535, 0.21061334045007535, 0.18394576777425203, 0.18394576777425203]"
24,Masters,1,"['Specialist', 'Specialist', 'Worker', 'Senior', 'Worker', 'Worker', 'Specialist', 'Junior']","[0.22266853181296026, 0.22266853181296026, 0.1866377077018931, 0.19559720374977796, 0.1800570724242948, 0.2221270793354691, 0.22380503798390264, 0.19744648359730588]","[0.22420997767611953, 0.22420997767611953, 0.1984481093457186, 0.18806058546270626, 0.18744921796897904, 0.2139837795963774, 0.23858600537159247, 0.2104662403092344]","[0.2067460430391852, 0.2067460430391852, 0.20850932286501025, 0.19489857029410904, 0.18877969568119757, 0.2256671865540918, 0.2007193055708621, 0.20893017277533857]"
25,None/Other,2,"['Specialist', 'Junior', 'Senior', 'Junior', 'Specialist', 'Specialist', 'Senior']","[0.216132344393877, 0.2188306184401202, 0.20766368232757634, 0.2188306184401202, 0.2086707468391856, 0.2086707468391856, 0.24701122413377127]","[0.2727489721643521, 0.19341048082912335, 0.20412988581970135, 0.19341048082912335, 0.2649495799720564, 0.2649495799720564, 0.20524996761161118]","[0.18709079019438213, 0.1772325239341362, 0.19800824651680135, 0.1772325239341362, 0.19751939153024708, 0.19751939153024708, 0.1850648594838652]"
26,Masters,3,['Specialist'],[0.2230107565144293],[0.24612359721717567],[0.20674395830345005]
27,Associates,0,"['Worker', 'Senior', 'Specialist', 'Specialist', 'Specialist', 'Worker', 'Senior', 'Senior', 'Junior', 'Senior', 'Specialist', 'Senior', 'Specialist']","[0.18684237812828855, 0.0, 0.2085566817840616, 0.19196182218030994, 0.24316887599050624, 0.19490037774889213, 0.20755640699153435, 0.20902880349293188, 0.19485226595165578, 0.19005168724805835, 0.21674064744440505, 0.2296382057720826, 0.20698471161295842]","[0.17265708587303755, 0.0, 0.2450329372281037, 0.23273891879069586, 0.24754219369127178, 0.19652602260153618, 0.20074244665356838, 0.19330934587689352, 0.1857790320065864, 0.18319242597028185, 0.24097895434174882, 0.22932121125919527, 0.2212821018084314]","[0.20489479453039242, 0.0, 0.20996201051239197, 0.21590725566859403, 0.21172206587193806, 0.205846887179515, 0.19783789270171076, 0.19553017896321392, 0.18959865123959432, 0.18436463861179278, 0.2146008024988233, 0.21078343466488925, 0.2120369654324323]"
28,Bachelors,32,"['Senior', 'Senior']","[0.24862090176247092, 0.2309035283597397]","[0.23254075292220044, 0.22036548033368175]","[0.21355484314998427, 0.21555557913962417]"
29,Doctorate,0,"['Specialist', 'Senior', 'Senior', 'Senior', 'Senior', 'Senior']","[0.20308135483852524, 0.2195396591724758, 0.2149182022001545, 0.22055230411974291, 0.2297024243669561, 0.20919787012999422]","[0.22608452568583226, 0.18902723495909698, 0.19470959647679756, 0.17311162430155258, 0.20627038767557138, 0.19038206006648445]","[0.18664971731657298, 0.19288421231345082, 0.19823355251383232, 0.16380922770649683, 0.21096512746485754, 0.18207429270031195]"
30,Masters,5,['Worker'],[0.19721851060851084],[0.19883746050816606],[0.20552432655003197]
31,Certificate,13,"['Specialist', 'Senior', 'Worker', 'Specialist', 'Senior', 'Specialist', 'Specialist']","[0.20660336093694417, 0.2140493589201394, 0.19303590961301675, 0.2186819781357948, 0.23028143506738744, 0.1775112568296231, 0.21004633572428083]","[0.23041171688287343, 0.2042156149932121, 0.19683205764898684, 0.22406703303470688, 0.22464932716774985, 0.18876868322064014, 0.2215994384800319]","[0.22987889150304683, 0.19079200004193347, 0.20777007284785118, 0.20558341142536865, 0.1934459680909252, 0.17127435403138713, 0.20784635993411796]"
32,Associates,4,"['Specialist', 'Junior']","[0.2200855620289216, 0.21393307506402195]","[0.2651109999394885, 0.21002891461536768]","[0.2036973265800729, 0.20164892093395478]"
33,Certificate,5,"['Senior', 'Senior', 'Specialist', 'Specialist', 'Worker', 'Senior', 'Junior', 'Senior', 'Specialist', 'Junior', 'Specialist', 'Specialist', 'Senior']","[0.22617696521086356, 0.2352152147312302, 0.2270828497343631, 0.2231509022053489, 0.18436531594562972, 0.1896728833094296, 0.21538933363769605, 0.189295434685027, 0.1889363064662004, 0.21504782242439593, 0.2094201144533416, 0.22603552708878893, 0.2149457172488442]","[0.20821435276133926, 0.23438161613693612, 0.2514462331967663, 0.2406869022628793, 0.18818692446671714, 0.1774233499285754, 0.21211912418114426, 0.17574727621689704, 0.22765939550630418, 0.20762614541431282, 0.2223760366717953, 0.2429402153346467, 0.19973763817212523]","[0.20327030223269577, 0.2031281121116313, 0.2137402443360996, 0.21510627599720836, 0.2118146737251538, 0.15546730375489365, 0.19338879382166863, 0.1778067167722231, 0.1969351840045422, 0.18724946863437342, 0.19281415790768325, 0.20568558768415438, 0.18448282182004525]"
34,Masters,5,"['Specialist', 'Specialist', 'Specialist', 'Specialist', 'Senior', 'Specialist', 'Specialist', 'Junior', 'Junior']","[0.2209909830106357, 0.21649803230524645, 0.21337470542577533, 0.20184454097074356, 0.23652718657546984, 0.22172187248500966, 0.2233689285181261, 0.21487216716322574, 0.20204127713648004]","[0.23777879720463854, 0.24156465036791758, 0.22375888119976145, 0.2593358532734937, 0.2218989565957219, 0.2354518313951933, 0.23748566091514678, 0.2078259971088025, 0.2140686620738403]","[0.18867114528082393, 0.19204555679159455, 0.18569389320357932, 0.1852702396833618, 0.1906028723050171, 0.19519948593447564, 0.2079087716875635, 0.19361469841289122, 0.19060913942593363]"
35,Masters,0,"['Senior', 'Senior', 'Senior', 'Junior', 'Senior', 'Senior', 'Worker', 'Senior']","[0.2140556145375542, 0.21095656604003551, 0.21351934665085298, 0.2205728553073669, 0.209114175886574, 0.20263842543190508, 0.17037237009382286, 0.20804501396293418]","[0.18430413653186808, 0.19347962283708214, 0.18782589002932246, 0.20707948489494524, 0.18172639649135713, 0.18710120583620776, 0.16606980315142025, 0.19607429162198475]","[0.20516829380697965, 0.20224867998657794, 0.19047874263809605, 0.20795636867650172, 0.1878148198577342, 0.19075524332515206, 0.18907901393554574, 0.19043387895591488]"
36,None/Other,1,"['Senior', 'Senior', 'Worker', 'Worker', 'Worker', 'Senior', 'Senior', 'Senior', 'Senior', 'Senior']","[0.2298133026975343, 0.22872021828279615, 0.20182238168595143, 0.20182238168595143, 0.20182238168595143, 0.2256624562442688, 0.23628241430731559, 0.23628241430731559, 0.23628241430731559, 0.23628241430731559]","[0.2231885126098563, 0.22750254955369992, 0.19961483349365766, 0.19961483349365766, 0.19961483349365766, 0.19965590900887872, 0.22104988057508404, 0.22104988057508404, 0.22104988057508404, 0.22104988057508404]","[0.197141347542949, 0.19887016221615908, 0.20908170478666965, 0.20908170478666965, 0.20908170478666965, 0.1942630872325963, 0.2065457933980183, 0.2065457933980183, 0.2065457933980183, 0.2065457933980183]"
37,None/Other,0,"['Senior', 'Specialist', 'Senior', 'Junior', 'Specialist']","[0.20362138076965267, 0.22704144471211332, 0.18698329405767827, 0.23618742358119177, 0.21793848188196221]","[0.1754614266558391, 0.2300908964803521, 0.17006632161379748, 0.23235059212611592, 0.2236585734473327]","[0.17803448900499672, 0.22309457793684997, 0.1754855319658415, 0.20141703512453624, 0.2198650106515936]"
38,Masters,1,"['Specialist', 'Specialist', 'Senior', 'Worker', 'Senior', 'Senior', 'Senior', 'Junior']","[0.15745132860826813, 0.20593318898403926, 0.22486818936139813, 0.2187808914979846, 0.22974545464421017, 0.2273134312398616, 0.23028143506738744, 0.22598226213147468]","[0.1735676401484559, 0.21798785343620025, 0.2143691499170623, 0.21786082237574647, 0.22251442350278564, 0.21509213690372406, 0.22464932716774985, 0.20976150226242626]","[0.15062200874438594, 0.20833726797713972, 0.18925000664918318, 0.22005281094510226, 0.19244275093684682, 0.18925244047201267, 0.1934459680909252, 0.2104037870325912]"
39,Certificate,1,"['Specialist', 'Senior', 'Specialist', 'Junior', 'Senior', 'Worker']","[0.19877741324210557, 0.22436912478423196, 0.2318217704195911, 0.20519956920466043, 0.0, 0.18515189124462883]","[0.2123487925511115, 0.21421328501840736, 0.23687270859944415, 0.20295437165587069, 0.0, 0.18777435454314576]","[0.20950195303991745, 0.20259557858319366, 0.21786167217405591, 0.18151409451781456, 0.0, 0.19973032205470456]"
40,None/Other,5,"['Senior', 'Senior', 'Senior', 'Senior', 'Specialist', 'Worker', 'Specialist']","[0.23652718657546984, 0.23067850806604978, 0.23652718657546984, 0.21343085613034618, 0.22836600182048844, 0.2073670139340871, 0.22945864586962564]","[0.2218989565957219, 0.22011951307562466, 0.2218989565957219, 0.19832140878051333, 0.24721774912593583, 0.20786465046888822, 0.22955073798717907]","[0.1906028723050171, 0.17593032223272573, 0.1906028723050171, 0.21197995268676378, 0.19089227053763896, 0.21500994917579713, 0.17894590414854675]"
41,Certificate,1,"['Specialist', 'Specialist', 'Specialist', 'Specialist', 'Worker']","[0.19638453155482744, 0.19638453155482744, 0.19638453155482744, 0.20271590501055475, 0.18874496192508625]","[0.20815592748378553, 0.20815592748378553, 0.20815592748378553, 0.21607137745757438, 0.18187520250899808]","[0.17944529482599594, 0.17944529482599594, 0.17944529482599594, 0.19886306748061663, 0.1921424544653379]"
42,Associates,16,"['Specialist', 'Senior', 'Specialist', 'Senior', 'Senior', 'Senior']","[0.18197660830713833, 0.20679590634800862, 0.15321619824919933, 0.20741334091133815, 0.19193860806502097, 0.0]","[0.20226061037294968, 0.19109055295859395, 0.1772872528200615, 0.20427008202000962, 0.18349715479864667, 0.0]","[0.19607118803712786, 0.1867464334580396, 0.17726428197425534, 0.17423543975237196, 0.18869676225964477, 0.0]"
43,None/Other,5,"['Worker', 'Senior', 'Senior', 'Senior', 'Senior', 'Specialist', 'Specialist', 'Senior']","[0.1823164001323821, 0.24063187408537554, 0.24569091019661093, 0.2255702080276072, 0.21667374458826347, 0.22945864586962564, 0.22945864586962564, 0.19193860806502097]","[0.17411132499978588, 0.21488572029158362, 0.23395312543037464, 0.21949107924652667, 0.19329470372937138, 0.22955073798717907, 0.22955073798717907, 0.18349715479864667]","[0.1836465318549427, 0.20788836078386355, 0.19179470695651687, 0.1914881648169203, 0.18652542874563863, 0.17894590414854675, 0.17894590414854675, 0.18869676225964477]"
44,Certificate,7,"['Specialist', 'Specialist', 'Senior', 'Specialist', 'Senior', 'Senior', 'Senior', 'Specialist', 'Specialist', 'Senior', 'Specialist', 'Senior', 'Specialist', 'Senior', 'Senior']","[0.21386499134505868, 0.22945864586962564, 0.22590197955512784, 0.20690236806987883, 0.18292905955129124, 0.2269367832521561, 0.20580605750284728, 0.195335520200144, 0.195335520200144, 0.18877384854058465, 0.20967163137225953, 0.23548454762621673, 0.20125650145849372, 0.21702296516540776, 0.21784612529590744]","[0.2820959895763778, 0.22955073798717907, 0.22148650303909967, 0.24714779339457268, 0.1790496684771733, 0.19220354848463625, 0.19322750139168285, 0.24636793148101555, 0.24636793148101555, 0.17558217983892288, 0.2333570363295053, 0.22428072754411887, 0.20237302667082566, 0.20605137071698698, 0.1984986205674676]","[0.1893288313320268, 0.17894590414854675, 0.18163257241310796, 0.192079803684601, 0.1823970442678802, 0.19066679753900995, 0.18555372011764998, 0.20378238934856177, 0.20378238934856177, 0.18322056803339262, 0.19241369558880975, 0.18545698984013692, 0.19239180132519612, 0.19404059860355086, 0.17656618826034126]"
45,None/Other,5,"['Specialist', 'Senior', 'Specialist', 'Specialist', 'Senior', 'Senior']","[0.2144320969533723, 0.2119450062081993, 0.1805484187081509, 0.1805484187081509, 0.19545833091242437, 0.1901817474547363]","[0.21505285594796386, 0.18982849942717503, 0.18416179198087737, 0.18416179198087737, 0.18445462717251718, 0.17357472680302943]","[0.19779032012087083, 0.18194681541222052, 0.18244550074956836, 0.18244550074956836, 0.18809214749898628, 0.1575450001957584]"
46,Masters,0,"['Junior', 'Junior', 'Senior', 'Senior', 'Worker', 'Worker', 'Senior', 'Junior', 'Senior', 'Senior', 'Junior']","[0.22765752209307705, 0.18539993111947842, 0.17985587584732962, 0.2042361287138848, 0.1946064928323624, 0.18623519734779037, 0.2399029907733078, 0.24104239950303424, 0.20141326062525458, 0.2050771359352642, 0.24518891971029114]","[0.20495848080157175, 0.18091395269662044, 0.16374139457853873, 0.18805970786308476, 0.19109218698153901, 0.1741727007604557, 0.2073706852291144, 0.22694332969199285, 0.1927774415134383, 0.1969437970040414, 0.22411866444927825]","[0.1837086065172591, 0.17464855180547556, 0.17481116026413815, 0.1870648996263636, 0.20124254543913841, 0.19612215068420522, 0.2056826995786062, 0.205999875774265, 0.19056921052578873, 0.20393340711454586, 0.20772533437255605]"
47,Doctorate,12,"['Senior', 'Senior', 'Senior', 'Specialist', 'Specialist', 'Worker', 'Senior']","[0.219294763361294, 0.1926385508361679, 0.2169552663520968, 0.2187322679017917, 0.21382112683244478, 0.2108117882805716, 0.23917053353174347]","[0.19496336528279187, 0.18941579531596345, 0.20400434539489645, 0.2605645749414089, 0.2158800708097272, 0.19897114136028202, 0.20317478445059922]","[0.18824422017624728, 0.19012530469988895, 0.19520607965443504, 0.20562057040702497, 0.1919771796815711, 0.213664921000197, 0.18445549448135082]"
48,Bachelors,11,"['Senior', 'Senior', 'Senior', 'Junior', 'Specialist', 'Worker', 'Specialist', 'Specialist', 'Specialist', 'Worker']","[0.21250139656118722, 0.18093337074723126, 0.18212549123686125, 0.22824612054579538, 0.17246154767764776, 0.20011378661204873, 0.2076251240174439, 0.1971528198276356, 0.22003765274146506, 0.1815735790396175]","[0.20832832405950683, 0.16582952086488814, 0.16478175526921288, 0.23274745056205923, 0.20142168964006799, 0.19155440372272478, 0.25977350395072946, 0.21876154521143384, 0.2454308901159864, 0.17281673037862907]","[0.20344025311490635, 0.18063723153430705, 0.18005236304672995, 0.20520708295624365, 0.19005598687790776, 0.21171454073024598, 0.1932070954275586, 0.19252322122701945, 0.19749291655047807, 0.20364038353560734]"
49,Masters,3,"['Junior', 'Specialist', 'Specialist', 'Senior', 'Specialist', 'Specialist', 'Senior', 'Junior', 'Specialist', 'Specialist', 'Senior', 'Senior', 'Specialist', 'Specialist']","[0.19019625951723843, 0.21566499072169532, 0.20107391788353182, 0.20089442053667592, 0.20107391788353182, 0.22508557897085057, 0.2210866574898498, 0.2083609409760762, 0.22770141240609196, 0.2284198776980079, 0.2240509963212839, 0.22612812735510154, 0.22770141240609196, 0.20107391788353182]","[0.1736256390816202, 0.2734833284358953, 0.22733468971659868, 0.19575183442911123, 0.22733468971659868, 0.22730219469588456, 0.211723742115932, 0.19777233277242828, 0.23724360948512363, 0.23515795360989336, 0.2022286429548112, 0.20668605336994356, 0.23724360948512363, 0.22733468971659868]","[0.1774190885494678, 0.1893082589394206, 0.2036138782948275, 0.1913952222562566, 0.2036138782948275, 0.20373135430062692, 0.1832191235020366, 0.189371302673176, 0.1791307698067852, 0.1856176894832856, 0.17967851985039868, 0.19180086626008808, 0.1791307698067852, 0.2036138782948275]"
