,Education,NumSkills,WorkExperience,StartDates,EndDates
10,Masters,7,"['Senior', 'Worker', 'Specialist']","['05-1991', '05-1996', '12-2000']","['05-1996', '12-2000', '01-2019']"
11,Masters,3,['Specialist'],['05-2016'],['11-2017']
12,None/Other,8,"['Worker', 'Senior', 'Worker', 'Senior', 'Specialist']","['03-1992', '06-1996', '07-2000', '04-2004', '11-2017']","['06-1996', '07-2000', '05-2003', '02-2015', '01-2019']"
13,Doctorate,4,"['Worker', 'Senior', 'Junior', 'Senior', 'Junior', 'Junior', 'Specialist', 'Junior', 'Senior', 'Specialist', 'Senior', 'Senior', 'Senior', 'Senior', 'Senior']","['06-1988', '10-1989', '11-1990', '05-1992', '07-1993', '07-1995', '08-1996', '06-1997', '10-1999', '07-2002', '06-2003', '06-2004', '06-2010', '03-2010', '06-2015']","['05-1989', '11-1990', '05-1992', '06-1993', '07-1995', '08-1996', '06-1997', '11-1999', '04-2001', '06-2003', '06-2004', '03-2010', '12-2013', '01-2019', '01-2019']"
14,Certificate,5,"['Specialist', 'Senior', 'Senior', 'Senior']","['02-1996', '06-1999', '05-1996', '08-2001']","['07-1999', '08-2002', '06-2018', '06-2018']"
15,None/Other,1,"['Senior', 'Specialist', 'Senior', 'Junior', 'Senior', 'Senior']","['02-2007', '01-2010', '10-2011', '02-2017', '08-2017', '01-2018']","['12-2009', '10-2011', '09-2014', '12-2017', '01-2019', '01-2019']"
16,Bachelors,5,"['Junior', 'Junior', 'Senior', 'Senior', 'Specialist', 'Senior', 'Specialist']","['08-2014', '02-2015', '08-2016', '09-2015', '05-2017', '08-2017', '11-2017']","['08-2015', '08-2015', '12-2016', '04-2017', '08-2017', '09-2017', '08-2018']"
17,Masters,0,"['Worker', 'Specialist', 'Senior', 'Specialist', 'Junior', 'Junior', 'Worker', 'Worker', 'Senior', 'Worker']","['07-2011', '01-2012', '10-2013', '03-2014', '06-2014', '11-2014', '05-2015', '06-2015', '09-2015', '06-2016']","['12-2012', '01-2013', '02-2014', '04-2014', '09-2014', '12-2014', '06-2015', '09-2015', '02-2016', '01-2019']"
18,Associates,0,"['Specialist', 'Senior', 'Worker', 'Worker', 'Worker', 'Worker']","['01-1999', '05-2002', '05-2007', '11-2009', '01-2014', '10-2015']","['01-2001', '05-2007', '11-2009', '01-2011', '10-2015', '08-2016']"
19,Masters,0,"['Worker', 'Worker', 'Senior', 'Senior', 'Senior', 'Worker', 'Senior', 'Specialist', 'Specialist', 'Senior', 'Senior', 'Worker', 'Senior', 'Worker', 'Senior', 'Worker', 'Senior']","['05-1978', '08-1980', '04-1989', '04-1989', '04-1992', '08-1994', '08-2000', '10-2001', '10-2001', '04-2010', '01-2007', '08-2012', '12-2012', '05-2013', '11-2013', '12-2014', '04-2016']","['08-1980', '04-1989', '04-1992', '04-1992', '08-1994', '08-2000', '10-2001', '03-2004', '10-2006', '10-2011', '05-2012', '05-2013', '05-2013', '10-2013', '11-2014', '04-2016', '01-2019']"
20,Masters,0,"['Senior', 'Senior', 'Senior', 'Senior', 'Specialist', 'Specialist', 'Senior', 'Specialist', 'Senior', 'Senior', 'Senior', 'Senior', 'Senior']","['01-1977', '01-1986', '01-1987', '01-1988', '01-1993', '01-1995', '01-1998', '01-2003', '01-2010', '01-2010', '01-2011', '01-2012', '01-2016']","['01-1986', '01-1987', '01-1988', '01-1989', '01-1995', '01-1998', '01-2003', '01-2008', '01-2011', '01-2011', '01-2011', '01-2016', '01-2018']"
21,Masters,1,"['Senior', 'Senior', 'Senior', 'Worker', 'Senior', 'Senior', 'Senior', 'Senior', 'Junior', 'Senior', 'Specialist', 'Senior', 'Specialist', 'Junior', 'Specialist']","['08-1987', '02-1988', '03-1996', '09-1996', '01-2006', '01-2010', '05-2010', '01-1991', '10-2009', '07-2011', '04-1998', '04-2002', '05-2005', '09-2010', '07-2015']","['01-1988', '09-1996', '09-1996', '04-1998', '01-2006', '01-2010', '06-2010', '07-2011', '07-2011', '07-2011', '07-2015', '01-2019', '01-2019', '01-2019', '01-2019']"
22,None/Other,5,"['Junior', 'Junior', 'Senior', 'Specialist']","['10-1989', '05-2001', '10-2003', '08-2018']","['04-2001', '09-2003', '03-2018', '01-2019']"
23,None/Other,1,"['Specialist', 'Senior', 'Specialist', 'Senior', 'Senior', 'Senior', 'Senior']","['01-1984', '01-1998', '01-1999', '01-2001', '01-2006', '01-2007', '04-2015']","['01-1998', '01-1999', '01-2001', '01-2006', '01-2007', '01-2015', '09-2018']"
24,Masters,1,"['Specialist', 'Specialist', 'Worker', 'Senior', 'Worker', 'Worker', 'Specialist', 'Junior']","['01-1993', '01-1996', '01-2000', '01-2007', '01-2007', '01-2012', '01-2014', '01-2016']","['01-1996', '01-2000', '01-2007', '01-2007', '01-2012', '01-2014', '01-2016', '01-2019']"
25,None/Other,2,"['Specialist', 'Junior', 'Senior', 'Junior', 'Specialist', 'Specialist', 'Senior']","['05-1979', '10-1993', '11-1996', '08-2001', '05-2007', '10-2016', '03-2017']","['10-1993', '10-1996', '08-2001', '05-2007', '10-2015', '01-2019', '01-2019']"
26,Masters,3,['Specialist'],['01-2016'],['01-2019']
27,Associates,0,"['Worker', 'Senior', 'Specialist', 'Specialist', 'Specialist', 'Worker', 'Senior', 'Senior', 'Junior', 'Senior', 'Specialist', 'Senior', 'Specialist']","['03-1974', '09-1978', '09-1984', '07-1983', '09-1986', '06-1989', '08-1990', '02-1991', '03-2006', '12-2006', '05-2009', '05-2012', '04-2015']","['08-1978', '09-1982', '09-1985', '09-1986', '06-1989', '08-1990', '02-1991', '02-2006', '09-2006', '03-2009', '05-2012', '03-2015', '01-2019']"
28,Bachelors,32,"['Senior', 'Senior']","['11-1992', '05-1979']","['11-1992', '05-1990']"
29,Doctorate,0,"['Specialist', 'Senior', 'Senior', 'Senior', 'Senior', 'Senior']","['08-2005', '05-2012', '05-2013', '08-2011', '01-2014', '07-2016']","['08-2011', '05-2013', '01-2014', '05-2014', '07-2016', '01-2019']"
30,Masters,5,['Worker'],['10-2014'],['06-2017']
31,Certificate,13,"['Specialist', 'Senior', 'Worker', 'Specialist', 'Senior', 'Specialist', 'Specialist']","['01-1987', '01-1990', '01-1991', '01-1995', '01-2007', '02-2000', '12-2013']","['01-1990', '01-1991', '01-1995', '01-1999', '01-2012', '01-2019', '01-2019']"
32,Associates,4,"['Specialist', 'Junior']","['12-2006', '10-2012']","['09-2011', '09-2017']"
33,Certificate,5,"['Senior', 'Senior', 'Specialist', 'Specialist', 'Worker', 'Senior', 'Junior', 'Senior', 'Specialist', 'Junior', 'Specialist', 'Specialist', 'Senior']","['06-1999', '12-2002', '07-2003', '06-2005', '08-2006', '08-2008', '09-2009', '04-2012', '12-2012', '07-2014', '11-2014', '12-2015', '01-2017']","['11-2002', '06-2003', '06-2005', '02-2006', '07-2007', '12-2008', '05-2011', '09-2012', '03-2013', '10-2014', '12-2015', '06-2016', '12-2017']"
34,Masters,5,"['Specialist', 'Specialist', 'Specialist', 'Specialist', 'Senior', 'Specialist', 'Specialist', 'Junior', 'Junior']","['06-1999', '11-2004', '05-2006', '06-2009', '07-2011', '06-2012', '11-2013', '11-2013', '11-2015']","['07-2003', '05-2006', '03-2009', '06-2011', '06-2012', '11-2013', '11-2015', '01-2019', '01-2019']"
35,Masters,0,"['Senior', 'Senior', 'Senior', 'Junior', 'Senior', 'Senior', 'Worker', 'Senior']","['10-2001', '11-2008', '03-2010', '09-2012', '10-2013', '12-2015', '10-2017', '03-2018']","['06-2008', '03-2010', '09-2012', '09-2013', '12-2014', '05-2017', '06-2018', '01-2019']"
36,None/Other,1,"['Senior', 'Senior', 'Worker', 'Worker', 'Worker', 'Senior', 'Senior', 'Senior', 'Senior', 'Senior']","['01-1986', '01-1997', '03-2005', '05-2004', '04-2006', '11-2008', '08-2013', '03-2014', '11-2014', '03-2015']","['01-1994', '04-2001', '09-2005', '01-2006', '04-2008', '08-2011', '01-2014', '11-2014', '03-2015', '09-2015']"
37,None/Other,0,"['Senior', 'Specialist', 'Senior', 'Junior', 'Specialist']","['01-1980', '01-1985', '01-1988', '01-1997', '01-2004']","['01-1985', '01-1988', '01-1992', '01-2003', '01-2007']"
38,Masters,1,"['Specialist', 'Specialist', 'Senior', 'Worker', 'Senior', 'Senior', 'Senior', 'Junior']","['01-1988', '03-2001', '07-2008', '03-2007', '02-2011', '03-2015', '09-2017', '04-2018']","['03-2001', '02-2007', '03-2009', '02-2011', '05-2014', '04-2017', '04-2018', '01-2019']"
39,Certificate,1,"['Specialist', 'Senior', 'Specialist', 'Junior', 'Senior', 'Worker']","['05-1997', '02-2001', '07-2004', '07-2007', '06-2008', '03-2011']","['10-2001', '07-2004', '06-2007', '11-2010', '01-2018', '01-2018']"
40,None/Other,5,"['Senior', 'Senior', 'Senior', 'Senior', 'Specialist', 'Worker', 'Specialist']","['04-1997', '03-2002', '06-2010', '04-2012', '09-2013', '05-2015', '07-2017']","['03-2002', '06-2010', '04-2012', '04-2013', '06-2015', '07-2017', '01-2019']"
41,Certificate,1,"['Specialist', 'Specialist', 'Specialist', 'Specialist', 'Worker']","['01-1995', '01-1996', '01-1998', '12-2005', '01-2017']","['09-1995', '08-1997', '08-2009', '12-2017', '04-2018']"
42,Associates,16,"['Specialist', 'Senior', 'Specialist', 'Senior', 'Senior', 'Senior']","['01-2005', '01-2008', '01-2010', '01-2011', '01-2016', '01-2018']","['01-2008', '01-2010', '01-2011', '01-2016', '01-2018', '01-2019']"
43,None/Other,5,"['Worker', 'Senior', 'Senior', 'Senior', 'Senior', 'Specialist', 'Specialist', 'Senior']","['01-1995', '01-2001', '01-2006', '01-2009', '01-2011', '12-2015', '06-2017', '09-2007']","['01-2001', '01-2006', '01-2009', '01-2011', '08-2015', '06-2017', '06-2018', '01-2019']"
44,Certificate,7,"['Specialist', 'Specialist', 'Senior', 'Specialist', 'Senior', 'Senior', 'Senior', 'Specialist', 'Specialist', 'Senior', 'Specialist', 'Senior', 'Specialist', 'Senior', 'Senior']","['01-1981', '04-1990', '08-1991', '09-1991', '07-1997', '06-1998', '02-1999', '11-1999', '12-1999', '02-2005', '06-2010', '07-2003', '05-2017', '07-1993', '05-2018']","['05-1986', '08-1991', '09-1993', '12-1994', '06-1998', '04-1999', '06-2003', '12-2009', '12-2009', '02-2010', '04-2015', '04-2016', '09-2017', '01-2019', '01-2019']"
45,None/Other,5,"['Specialist', 'Senior', 'Specialist', 'Specialist', 'Senior', 'Senior']","['04-2001', '09-2010', '11-2011', '06-2012', '06-2014', '05-2015']","['09-2010', '11-2011', '06-2012', '06-2014', '05-2015', '07-2015']"
46,Masters,0,"['Junior', 'Junior', 'Senior', 'Senior', 'Worker', 'Worker', 'Senior', 'Junior', 'Senior', 'Senior', 'Junior']","['11-1985', '06-1988', '04-1990', '05-1992', '08-2000', '11-2006', '06-2007', '05-1992', '05-2008', '07-2009', '12-2016']","['02-1988', '04-1990', '05-1992', '08-2000', '11-2006', '06-2007', '07-2009', '01-2019', '01-2019', '01-2019', '01-2019']"
47,Doctorate,12,"['Senior', 'Senior', 'Senior', 'Specialist', 'Specialist', 'Worker', 'Senior']","['03-2003', '01-2009', '10-2017', '01-2019', '01-2014', '11-2017', '03-2018']","['07-2009', '01-2014', '11-2017', '01-2019', '01-2019', '01-2019', '01-2019']"
48,Bachelors,11,"['Senior', 'Senior', 'Senior', 'Junior', 'Specialist', 'Worker', 'Specialist', 'Specialist', 'Specialist', 'Worker']","['01-1984', '01-1986', '01-1990', '01-2001', '01-2005', '03-2015', '01-2006', '10-2017', '01-2016', '03-2018']","['01-1986', '01-1988', '01-1992', '01-2002', '01-2006', '07-2015', '01-2016', '03-2018', '01-2019', '01-2019']"
49,Masters,3,"['Junior', 'Specialist', 'Specialist', 'Senior', 'Specialist', 'Specialist', 'Senior', 'Junior', 'Specialist', 'Specialist', 'Senior', 'Senior', 'Specialist', 'Specialist']","['01-1976', '01-1977', '01-1979', '01-1985', '01-1990', '05-1994', '09-1998', '09-2001', '04-2006', '08-2008', '11-2009', '10-2010', '05-2012', '08-2016']","['01-1977', '01-1978', '01-1984', '01-1989', '01-1993', '09-1998', '08-2001', '03-2006', '08-2008', '07-2009', '09-2010', '05-2012', '10-2015', '03-2018']"
50,Associates,0,"['Senior', 'Senior', 'Senior', 'Junior', 'Specialist']","['01-1994', '01-1999', '01-2000', '01-2003', '01-2006']","['01-1998', '01-2000', '01-2003', '01-2006', '01-2019']"
51,Masters,0,"['Senior', 'Specialist', 'Senior', 'Specialist', 'Specialist', 'Junior', 'Worker', 'Senior', 'Junior', 'Specialist']","['01-1996', '01-2009', '03-2011', '02-2016', '04-2016', '09-2016', '10-2017', '01-1995', '01-2018', '06-2018']","['01-2007', '01-2009', '02-2016', '04-2016', '10-2017', '10-2017', '06-2018', '01-2019', '01-2019', '01-2019']"
52,None/Other,0,"['Specialist', 'Worker', 'Worker', 'Specialist', 'Specialist', 'Worker', 'Senior', 'Specialist', 'Specialist', 'Senior', 'Specialist', 'Specialist', 'Senior', 'Specialist', 'Specialist']","['05-2005', '05-2006', '08-2007', '05-2008', '05-2007', '08-2008', '09-2007', '08-2009', '07-2010', '07-2011', '02-2012', '06-2014', '07-2015', '04-2015', '01-2018']","['08-2005', '09-2007', '06-2008', '02-2009', '05-2009', '06-2009', '06-2010', '06-2010', '06-2011', '02-2012', '06-2014', '07-2015', '01-2018', '01-2019', '01-2019']"
53,None/Other,4,"['Junior', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Junior', 'Worker', 'Worker', 'Specialist', 'Junior', 'Specialist']","['08-2005', '02-2007', '06-2008', '07-2008', '04-2008', '06-2009', '10-2009', '06-2012', '02-2013', '12-2014', '06-2018']","['01-2007', '06-2008', '09-2008', '07-2009', '09-2009', '09-2009', '06-2012', '12-2012', '06-2018', '01-2019', '01-2019']"
54,None/Other,0,"['Senior', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Worker', 'Senior']","['04-2003', '08-2006', '08-2011', '03-2012', '12-2013', '01-2015', '08-2017', '01-2019']","['01-2007', '01-2011', '03-2012', '10-2013', '06-2014', '07-2017', '11-2017', '01-2019']"
55,Masters,5,"['Junior', 'Specialist', 'Specialist', 'Specialist', 'Junior', 'Senior', 'Worker']","['01-1997', '01-2000', '01-2000', '01-2002', '01-2003', '01-2014', '03-2017']","['01-2002', '01-2002', '01-2003', '01-2003', '01-2014', '03-2017', '01-2019']"
56,Masters,10,"['Worker', 'Senior', 'Specialist']","['01-2006', '01-2014', '01-2012']","['01-2012', '01-2016', '01-2019']"
57,None/Other,0,"['Worker', 'Worker', 'Specialist', 'Worker', 'Worker', 'Senior', 'Worker', 'Worker', 'Worker']","['08-2011', '05-2007', '10-2010', '08-2012', '07-2015', '07-2016', '11-2017', '03-2018', '08-2018']","['10-2011', '07-2012', '07-2012', '07-2015', '03-2018', '03-2018', '03-2018', '08-2018', '01-2019']"
58,Certificate,1,"['Specialist', 'Junior', 'Specialist', 'Junior', 'Worker', 'Worker', 'Senior', 'Senior', 'Worker', 'Senior', 'Senior', 'Specialist', 'Senior', 'Specialist', 'Specialist', 'Senior', 'Senior']","['01-1990', '01-1992', '01-1991', '01-1995', '01-1995', '01-1986', '01-1996', '12-1997', '04-1999', '01-2001', '10-2002', '02-2008', '02-2010', '03-2013', '12-2014', '12-2007', '08-2015']","['01-1994', '01-1994', '01-1995', '01-1995', '01-1997', '01-1998', '01-1998', '04-1999', '01-2002', '10-2002', '01-2008', '03-2013', '01-2014', '12-2014', '08-2015', '01-2019', '01-2019']"
59,Associates,3,"['Specialist', 'Worker', 'Senior', 'Specialist', 'Senior', 'Specialist', 'Specialist', 'Senior', 'Senior', 'Senior', 'Senior', 'Specialist', 'Specialist', 'Specialist', 'Junior', 'Senior']","['04-1987', '10-1998', '07-2000', '01-2002', '02-2005', '06-2008', '01-2009', '08-2010', '11-2011', '01-2014', '01-2015', '01-2013', '04-2011', '03-2014', '07-2016', '02-2017']","['09-1998', '06-2000', '01-2002', '02-2005', '12-2006', '12-2008', '06-2009', '04-2011', '08-2012', '08-2014', '01-2016', '08-2016', '02-2017', '02-2017', '02-2017', '01-2019']"
60,Bachelors,0,"['Senior', 'Specialist', 'Specialist', 'Senior', 'Specialist', 'Specialist', 'Senior']","['04-2003', '09-2005', '11-2006', '07-2007', '12-2009', '09-2010', '07-2015']","['08-2005', '11-2006', '06-2007', '08-2010', '08-2010', '07-2015', '01-2019']"
61,HighSchool,5,"['Specialist', 'Specialist', 'Specialist', 'Senior', 'Specialist', 'Senior', 'Senior', 'Specialist', 'Specialist', 'Senior', 'Senior', 'Senior']","['11-1972', '04-1980', '04-1983', '04-1989', '04-2000', '07-2004', '04-2007', '07-2008', '12-2010', '05-2012', '06-2013', '02-2017']","['12-1979', '01-1983', '02-1989', '12-1999', '04-2004', '04-2007', '12-2007', '10-2010', '04-2012', '02-2013', '11-2015', '01-2019']"
62,HighSchool,0,"['Specialist', 'Specialist', 'Specialist', 'Senior', 'Specialist', 'Senior', 'Senior', 'Specialist', 'Specialist', 'Senior', 'Senior', 'Senior']","['11-1972', '04-1980', '04-1983', '04-1989', '04-2000', '07-2004', '04-2007', '07-2008', '12-2010', '05-2012', '06-2013', '02-2017']","['12-1979', '01-1983', '02-1989', '12-1999', '04-2004', '04-2007', '12-2007', '10-2010', '04-2012', '02-2013', '11-2015', '01-2019']"
63,None/Other,0,"['Senior', 'Senior', 'Worker', 'Specialist', 'Specialist', 'Senior', 'Specialist']","['02-1999', '01-2002', '02-2004', '01-2013', '01-2013', '10-2011', '12-2017']","['01-2002', '02-2004', '10-2011', '01-2013', '01-2013', '01-2015', '01-2019']"
64,Masters,5,"['Worker', 'Senior', 'Senior', 'Senior', 'Junior', 'Specialist', 'Senior', 'Senior', 'Senior', 'Senior', 'Specialist', 'Senior', 'Senior', 'Senior', 'Specialist', 'Specialist', 'Specialist', 'Senior', 'Specialist', 'Senior', 'Specialist', 'Senior', 'Specialist', 'Specialist', 'Worker', 'Senior', 'Senior', 'Senior']","['04-1982', '09-1982', '05-1985', '05-1988', '04-1990', '08-1990', '11-1991', '06-1994', '09-1994', '09-1995', '07-1997', '09-1997', '05-1999', '03-2001', '09-2001', '04-2002', '07-2002', '02-2005', '01-2006', '01-2007', '04-2008', '10-2008', '06-2009', '05-2010', '08-2011', '11-2007', '06-2012', '09-2015']","['09-1982', '05-1985', '05-1988', '02-1990', '08-1990', '11-1991', '08-1993', '09-1994', '07-1995', '02-1996', '05-1998', '05-1998', '03-2001', '09-2001', '12-2001', '07-2002', '02-2005', '12-2005', '01-2007', '11-2007', '05-2008', '11-2008', '05-2010', '04-2011', '06-2012', '01-2019', '01-2019', '01-2019']"
65,Certificate,8,"['Senior', 'Senior', 'Senior', 'Specialist', 'Senior', 'Senior', 'Senior', 'Worker', 'Worker', 'Specialist', 'Senior', 'Senior', 'Worker', 'Senior', 'Senior', 'Senior', 'Specialist', 'Specialist', 'Senior', 'Senior', 'Junior', 'Specialist', 'Senior', 'Junior']","['11-1989', '08-1993', '11-1996', '08-1997', '03-2004', '06-2003', '11-2004', '11-2005', '05-2006', '07-2007', '02-2010', '05-2011', '10-2011', '03-2012', '06-2012', '07-2012', '08-2012', '12-2012', '10-2013', '02-2014', '09-2016', '09-2016', '05-2017', '05-2011']","['01-1993', '11-1996', '05-1997', '08-2000', '07-2004', '09-2004', '11-2005', '01-2006', '08-2006', '03-2008', '06-2010', '09-2011', '01-2012', '05-2012', '08-2012', '10-2012', '11-2012', '06-2013', '01-2014', '06-2014', '06-2017', '06-2017', '04-2018', '05-2018']"
66,Associates,7,"['Senior', 'Senior', 'Senior', 'Senior', 'Senior', 'Junior', 'Junior', 'Senior', 'Worker']","['01-1981', '01-1986', '01-1986', '03-1990', '01-1992', '05-1997', '01-1997', '02-2013', '03-2008']","['12-1982', '12-1986', '12-1986', '11-1991', '01-2002', '07-2010', '12-2012', '05-2016', '01-2019']"
67,Bachelors,1,"['Senior', 'Worker', 'Senior', 'Senior', 'Specialist', 'Senior', 'Senior', 'Worker']","['01-1999', '03-2004', '08-2005', '09-2012', '09-2017', '12-2014', '07-2015', '03-2018']","['03-2004', '07-2008', '03-2010', '03-2014', '03-2018', '01-2019', '01-2019', '01-2019']"
68,Masters,1,"['Junior', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Senior', 'Senior', 'Senior', 'Senior', 'Senior']","['06-1982', '12-1997', '02-1998', '07-2002', '01-2007', '07-2008', '03-2010', '01-2012', '02-2013', '11-2016']","['12-1997', '01-1998', '05-2002', '01-2007', '07-2008', '03-2010', '02-2012', '02-2013', '10-2017', '01-2019']"
69,Masters,5,"['Worker', 'Specialist', 'Specialist', 'Specialist', 'Senior', 'Specialist', 'Specialist', 'Specialist']","['07-2008', '02-2009', '06-2011', '11-2011', '02-2016', '10-2016', '05-2017', '07-2017']","['12-2008', '12-2009', '12-2012', '08-2014', '08-2016', '04-2017', '07-2017', '01-2019']"
70,Masters,7,"['Specialist', 'Specialist', 'Specialist']","['01-2014', '01-2014', '01-2018']","['01-2014', '01-2016', '01-2019']"
71,Bachelors,5,"['Junior', 'Junior', 'Senior', 'Senior', 'Specialist']","['05-2012', '05-2012', '05-2015', '02-2017', '10-2018']","['08-2012', '09-2012', '09-2015', '01-2019', '01-2019']"
72,Bachelors,10,"['Specialist', 'Specialist', 'Junior', 'Specialist']","['04-2007', '01-2009', '01-2011', '04-2017']","['12-2008', '12-2010', '03-2017', '01-2018']"
73,Masters,5,"['Specialist', 'Senior', 'Specialist', 'Worker', 'Senior']","['07-2009', '03-2010', '11-2011', '06-2011', '12-2012']","['03-2010', '11-2011', '12-2012', '10-2014', '01-2019']"
74,None/Other,2,"['Specialist', 'Junior', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Senior', 'Specialist']","['01-2000', '01-2001', '01-2002', '01-2003', '01-2005', '01-2011', '01-2015', '01-2017']","['01-2001', '01-2002', '01-2003', '01-2005', '01-2011', '01-2014', '01-2017', '01-2019']"
75,Bachelors,5,"['Specialist', 'Senior', 'Specialist', 'Senior', 'Specialist', 'Specialist', 'Senior', 'Specialist', 'Senior']","['05-1993', '09-1995', '01-2001', '04-2002', '10-2004', '10-2005', '06-2011', '10-2014', '01-2016']","['09-1995', '01-2001', '04-2002', '10-2004', '10-2005', '06-2011', '10-2014', '01-2016', '01-2019']"
76,Masters,5,"['Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Senior', 'Specialist']","['06-2004', '06-2004', '10-2004', '03-2005', '04-2006', '10-2015', '10-2015']","['09-2004', '10-2004', '03-2005', '04-2006', '10-2015', '01-2019', '01-2019']"
77,None/Other,20,"['Specialist', 'Senior', 'Senior', 'Specialist', 'Senior', 'Senior']","['08-1997', '01-2000', '03-2006', '01-2010', '08-2010', '01-2017']","['01-2000', '03-2005', '04-2010', '01-2016', '01-2019', '01-2019']"
78,Bachelors,1,"['Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Junior', 'Specialist', 'Senior']","['01-2000', '01-2001', '01-2001', '01-2003', '01-2004', '01-2005', '01-2008', '01-2014']","['01-2000', '01-2001', '01-2002', '01-2003', '01-2005', '01-2006', '01-2014', '01-2019']"
79,Doctorate,0,"['Senior', 'Senior', 'Senior', 'Specialist', 'Senior', 'Senior', 'Worker', 'Specialist', 'Specialist', 'Senior', 'Senior', 'Specialist']","['10-2006', '03-2007', '02-2008', '09-2010', '12-2010', '08-2011', '09-2012', '03-2014', '09-2015', '09-2010', '01-2016', '08-2017']","['03-2007', '02-2008', '10-2009', '12-2010', '08-2011', '09-2012', '03-2014', '02-2015', '01-2016', '09-2016', '09-2016', '01-2018']"
80,Masters,0,"['Senior', 'Senior', 'Junior', 'Junior', 'Specialist', 'Senior', 'Specialist', 'Specialist']","['05-2005', '05-2006', '06-2007', '08-2008', '11-2009', '11-2010', '01-2017', '07-2017']","['08-2005', '06-2006', '06-2008', '12-2008', '04-2010', '11-2013', '03-2017', '01-2019']"
81,Doctorate,8,"['Specialist', 'Worker', 'Senior', 'Junior', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Junior', 'Senior', 'Junior', 'Specialist', 'Specialist', 'Specialist', 'Junior', 'Junior', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Senior', 'Specialist', 'Specialist', 'Specialist', 'Junior', 'Junior', 'Specialist']","['07-1985', '10-1987', '05-1988', '07-1995', '11-2002', '10-1999', '02-2006', '01-2009', '01-2009', '11-2008', '12-2010', '07-2011', '01-2009', '10-2011', '07-2011', '09-2007', '05-2007', '08-2007', '10-2012', '01-2014', '02-2014', '01-2016', '02-2015', '01-2016', '04-2016', '01-2008', '01-2018', '04-2018']","['10-1987', '05-1988', '01-1995', '10-1999', '01-2003', '02-2006', '07-2008', '01-2009', '01-2011', '02-2011', '06-2011', '10-2011', '11-2011', '01-2012', '10-2012', '05-2013', '07-2013', '12-2013', '02-2014', '02-2014', '03-2014', '01-2016', '01-2016', '04-2016', '02-2018', '01-2019', '01-2019', '01-2019']"
